text	emotion
Good thing shut National Security Council Directorate Global Health Security Biodefense Office Idiot !	Anger
Energy job include form renewable sustainable green form energy like solar wind wave hydro Technology create new energy business thousand job thousand future Catch Mr Trump live industrial age	Disgust
don want Keystone Pipeline ! ! Clean sustainable energy future ! ! petroleum petrochemical ! ! don want energy pollute earth ! ! way old paradigm new paradigm shift solar wind geothermal ! ! thank KP ! !	Trust
bill include basic necessity life Food Water Shelter Energy Transportation Health Care Responder Sanitation Worker wait crisis paste	No emotion
Good hear food supply chain fix dump food Send food bank Love Farmer Rancher 🇺 🇸	Joy
Obama leave Trump grow economy shrink deficit office global health security manage pandemic preparedness Iran Deal	Trust
Food supply national security issue bad COVID 19 crisis catalyst start conversation agriculture policy have sustainable agriculture diversity	No emotion
White House official charge pandemic response exit global health security team disband	No emotion
entire agriculture energy sector open ASAP Farmer need able plant ASAP Equipment seed fertilizer herbicide labor computer need active Energy need place fall Natural gas heating oil equipment part !	No emotion
TACYON ENERGY DOME TETRAHEDRON SCIENCE CHIEFTAN ENVIRONMENTAL CONSERVATION SCIENCE SUSTAINER BOUNDLESS UNIVERSE	No emotion
way fire people NSC global health security unit Healthy people fight Old people fight let fat old ass	Anger
don starve poor climate Stop food stamp cut financial & amp health disaster poor face Let eat !	Fear
food supply chain strong strongly need strong food supply chain strong butt strongly happen ?	Anger
Stock market Missing Covid 19 test kit Medical supply chain Vaccine Oil price Global conflict Matter ! ! !	Anger
Current Chinese Global Supply Chain Monopoly COVID 19 Beat Current Analysis State Global Supply Chain Management Includin	No emotion
Donald Trump Shut Global Health Security Pandemic Response Team American pay price	Sadness
Obama leave Trump grow economy shrink deficit global agreement fight climate change office global health security manage pandemic preparedness function State Justice Department Iran deal Trump leave	Sadness
Global Health Security Agenda GHSA multi faceted multi country initiative intend accelerate partner country measurable capability achieve specific target prevent detect & amp respond infectious disease threat GHSA target	No emotion
Economic shutdown affect farmer BIG TIME ! lose farmer & amp food supply chain SCREWED ! Let economy open late	Fear
Renewable energy include source cause harm environment minimal impact surround environment reason say renewable energy source sustainable sustainable energy source renewable	No emotion
lead global supply chain World ready prepare bad case border close unmanaged non optimize global food trade eventually affect food supply	No emotion
consider enjoy healthy food plant base diet help heal ailment prevent sickness ve 32 + year easy tasty fun ! Wish good health happiness ! xoxo	Joy
Thank leadership Food water energy infrastructure critical priority drive sustainable / grow economy American God Bless family	Joy
	Joy
Ghandy say health wealth grant good healh gain wealhy trust confidence passion turn regime believe	Trust
