text	emotion
El Estado va a duplicar la inversión en la compra de libros para bibliotecas populares. El acceso a la cultura y la lectura es un derecho de las y los argentinos. Conocé más en https://t.co/SVivuI6K0E #ArgentinaUnida https://t.co/a7x1rbvz8b	No emotion
@CasaRosada @alferdez Disculpe pero en lomas los comercios de alimentos para mascotas no les esta quedando stock xq no los dejan circular, no consideran que sea esencial. Vamos a la desidia total así y es mentira la serenísima NO ENTREGA LECHE EN LOMAS NO HAY LACTEOS.PRECIOS X LAS NUBESaumentosadiario	Fear
@alferdez ¿no hace un llamamiento internacional por la liberación de los presos políticos y los riesgos de mayores crímenes de Estado en #Venezuela ante #coronavirus? La sádica Delcy hace el panorama todavía más tétrico. #MFCArgent	Disgust
@CasaRosada @danielscioli y cuando se van a acordar de los empleados de comercio eh... Sólo trabajamos y brindamos todo pero sin ningún beneficio es más tenemos más en contra si nos contagiamos que haciendo cuarentena SEÑOR PRESIDENTE ...	Anger
@CasaRosada @alferdez Los comercios que están permitidos y son los pocos que siguen trabajando en esta sociedad, se están aprovechando de nosotros con los precios.	Sadness
@CasaRosada Se debería aprovechar estos 2 días de feriado y decretar el cierre total de comercios y transportes , porque si abren shoppings y supermercados estamos en la misma, se llenan hasta las bolas. Tiene que ser por la fuerza ya que el argentino no entiende sino...	Disgust
@CasaRosada Es muy necesario el posnet obligatorio en todos los comercios chicos de la pcia de Buenos Aires, para evitar colas en los cajeros a veces de horas y encontrarse sin dinero o ir a procurarselo a través de las colas en los bancos.	No emotion
El presidente Alberto Fernández dialogó con el vicepresidente del Banco Mundial, que le comunicó que el organismo brindará un apoyo presupuestario a la Argentina de 300 millones de dólares https://t.co/ArXnqZQZlX https://t.co/KTwCD0e4nE	No emotion
@CasaRosada @alferdez @CFKArgentina @horaciorlarreta @Martin_M_Guzman Necesitan el prestigio internacional de Macri, jaja ja jaja ja, como van a votar eso........	Joy
@CasaRosada @alferdezprensa Por favor señor presidente necesitamos ayuda en berazategui. El señor intendente no está controlando nada. Es un despilfarro. Abrio todo comercio hoy no había policía . Un caos https://t.co/0CBOvnh2Tj	Fear
@CasaRosada Porque carajo no mejoran la economía en vez de hacer estás boludeces, ya parecen la URSS, pura inversión en armas nucleares y satélites mientras que la población se cagaba de hambre	Anger
@CasaRosada Acá el gana siempre es el banco! Deudas generadas! A ellos no se les dice Ahora les toca ganar menos?! A ellos le autorizaron un crédito de 24%	Anger
@CasaRosada @MinTrabajoAR Hola, consulta: la desinfección, fumigación y desratización de consorcios, comercios y locales están exceptuados del aislamiento social obligatorio? Osea, entra dentro de higiene, limpieza y seguridad? #CuarentenaTotal	No emotion
@CasaRosada @alferdez Y LAS PYMES?????? SOY EMPLEADO DE COMERCIO Y NO ME VAN A PAGAR EL SUELDO. NO TIENEN UN MANGO!! TIREN UNA SOGA PARA LAS PEQUEÑAS Y MEDIANAS EMPRESAS!!! SE VAN A FUNDIR Y VAMOS A SER MILES DE DESOCUPADOS!!!	Fear
@CasaRosada @alferdez Ministro de desarollo y su https://t.co/NtlXngYtZ4 es por el comercio como hacen los pocos que estan abiertos dejan entrar de a uno.o.poca gente a la vez y si es por la circulacion de gente entonces hay que seguir asi hasta el 21-09.	No emotion
@CasaRosada @alferdez un presidente @alferdez , firme , equilibrado y justo , inflexible con los ventajeros poderosos, ,siento que me escucha , el sector financiero empezando por la banca publica tiene que poner el hombro, tanto en la atencion al publico y con las tarjetas de credito , juntos a la par	Joy
@CasaRosada @alferdez Los monotributistas C en adelante con comercio cerrado no podemos pagar impuestos y servicios.	Disgust
Alberto le propuso al G20 la creación de un “Fondo Mundial de Emergencia Humanitaria” @alferdez https://t.co/afLCIYLfpA https://t.co/I30Yh85rMs	No emotion
@CasaRosada @alferdez Y los autónomos de categorías c que hoy no pueden abrir sus comercios y no reciben ninguna ayuda???	Anger
@CasaRosada @alferdez sistema de turnos con prioridades PARA TODAS las actividades (bancos, cobranzas, tramites, etc) #turnos #implementarturnosya	No emotion
En política internacional, @alferdez dijo que: “No digamos que nos importa la vida si condenamos a Cuba y Venezuela a semejante orfandad. Es una cuestión humanitaria exclusivamente” en referencia a la charla con el G20 https://t.co/1KuWpWatR4	No emotion
@CasaRosada @alferdez Hay que ser responsables en estos momentos hay bloqueo en el puente internacional que conecta Salvador Mazza con Bolivia perjudicando el libre paso mercaderías e insumos de exportación e importación que hace ante esto su gobierno señor @alferdez	Disgust
@CasaRosada buen día!!! Necesitamos que incluyan a las librerias como comercio de necesidad, ya que las clases continúan virtualmente y se necesitan útiles para poder realizar las tareas. Gracias!	Disgust
@CasaRosada @alferdez Presi si la curva afloja, desde el 1/04 ya podrían liberarse comercios minoristas (excepto bares y restaurantes) y cuentapropistas unipersonales..	No emotion
"""El presidente @alferdez propuso al #G20 crear un Fondo Mundial de Emergencia Humanitaria. """"Si el dilema es la economía o la vida, yo elijo la vida"""".👏❤🇦🇷 #ArgentinaUnida @JorArguello https://t.co/mcXNxgvVHm"""	No emotion
