textEN	emotionEN	textES	emotionES
@realDonaldTrump Good thing you shut down the National Security Council Directorate for Global Health Security and Biodefense Office... Idiot!	Anger	El Estado va a duplicar la inversión en la compra de libros para bibliotecas populares. El acceso a la cultura y la lectura es un derecho de las y los argentinos. Conocé más en https://t.co/SVivuI6K0E #ArgentinaUnida https://t.co/a7x1rbvz8b	No emotion
@realDonaldTrump Energy jobs include ALL forms of renewable, sustainable, green forms of energy like solar, wind, wave, and hydro. Technologies have created whole new energy businesses with thousands of jobs and thousands more in the future. Catch up Mr Trump. You live in the industrial age still	Disgust	@CasaRosada @alferdez Disculpe pero en lomas los comercios de alimentos para mascotas no les esta quedando stock xq no los dejan circular, no consideran que sea esencial. Vamos a la desidia total así y es mentira la serenísima NO ENTREGA LECHE EN LOMAS NO HAY LACTEOS.PRECIOS X LAS NUBESaumentosadiario	Fear
@realDonaldTrump We don't want the Keystone Pipeline!! Clean, sustainable energy is the future!! Not petroleum and petrochemicals!! We don't want energy that pollutes the earth!! Your ways are old paradigm. We're in a new paradigm shift to solar, wind, geothermal!! No thank you KP!!	Trust	@alferdez ¿no hace un llamamiento internacional por la liberación de los presos políticos y los riesgos de mayores crímenes de Estado en #Venezuela ante #coronavirus? La sádica Delcy hace el panorama todavía más tétrico. #MFCArgent	Disgust
@WhiteHouse No more bills that do not include ONLY the basic necessities of life: Food, Water, Shelter, Energy, Transportation, Health Care, First Responders, Sanitation Workers. Anything else can wait until after crisis has pasted.	No emotion	@CasaRosada @danielscioli y cuando se van a acordar de los empleados de comercio eh... Sólo trabajamos y brindamos todo pero sin ningún beneficio es más tenemos más en contra si nos contagiamos que haciendo cuarentena SEÑOR PRESIDENTE ...	Anger
@WhiteHouse @realDonaldTrump Good to hear food supply chain fix. No dumping of food. Send to food banks. Love our Farmers and Ranchers. 🇺🇸	Joy	@CasaRosada @alferdez Los comercios que están permitidos y son los pocos que siguen trabajando en esta sociedad, se están aprovechando de nosotros con los precios.	Sadness
@realDonaldTrump Obama left Trump a growing economy, a shrinking deficit, an office on global health security to manage pandemic preparedness, and an Iran Deal.	Trust	@CasaRosada Se debería aprovechar estos 2 días de feriado y decretar el cierre total de comercios y transportes , porque si abren shoppings y supermercados estamos en la misma, se llenan hasta las bolas. Tiene que ser por la fuerza ya que el argentino no entiende sino...	Disgust
"""@WhiteHouse @realDonaldTrump """"Food supply is a national security issue and, as bad as this COVID-19 crisis is, perhaps it can be a catalyst to start a conversation about our agriculture policy and having sustainable agriculture and diversity."""" https://t.co/B7dTKhCiiO"""	No emotion	@CasaRosada Es muy necesario el posnet obligatorio en todos los comercios chicos de la pcia de Buenos Aires, para evitar colas en los cajeros a veces de horas y encontrarse sin dinero o ir a procurarselo a través de las colas en los bancos.	No emotion
@realDonaldTrump Top White House official in charge of pandemic response exits as global health security team disbanded https://t.co/XQ3lIzC7dh	No emotion	El presidente Alberto Fernández dialogó con el vicepresidente del Banco Mundial, que le comunicó que el organismo brindará un apoyo presupuestario a la Argentina de 300 millones de dólares https://t.co/ArXnqZQZlX https://t.co/KTwCD0e4nE	No emotion
@realDonaldTrump You have to get the entire agriculture and energy sectors open ASAP. Farmers need to be able to plant ASAP. Equipment, seeds, fertilizers, herbicides, labor, computers all need to be active. Energy needs to be in place this fall. Natural gas, heating oil, equipment and parts!	No emotion	@CasaRosada @alferdez @CFKArgentina @horaciorlarreta @Martin_M_Guzman Necesitan el prestigio internacional de Macri, jaja ja jaja ja, como van a votar eso........	Joy
@realDonaldTrump TACYON ENERGY DOME - #TESLACOIIL TETRAHEDRON SCIENCE #NEOTECH #ILLUMINATUS CHIEFTAN ENVIRONMENTAL CONSERVATION SCIENCES #SUSTAINABILITY SUSTAINER OF THE BOUNDLESS UNIVERSE G.O.D. G.A.O.T.U.	No emotion	@CasaRosada @alferdezprensa Por favor señor presidente necesitamos ayuda en berazategui. El señor intendente no está controlando nada. Es un despilfarro. Abrio todo comercio hoy no había policía . Un caos https://t.co/0CBOvnh2Tj	Fear
@POTUS @realDonaldTrump ... way to fire the people NSC global health security unit. Healthy people can fight. Old people can’t fight it to well. Now let’s see what your fat old ass does when you get it	Anger	@CasaRosada Porque carajo no mejoran la economía en vez de hacer estás boludeces, ya parecen la URSS, pura inversión en armas nucleares y satélites mientras que la población se cagaba de hambre	Anger
@realDonaldTrump don’t starve the poor in this climate. Stop the food stamp cuts. There are financial &amp; health disasters for the poor to face. Let them eat!	Fear	@CasaRosada Acá el gana siempre es el banco! Deudas generadas! A ellos no se les dice Ahora les toca ganar menos?! A ellos le autorizaron un crédito de 24%	Anger
@realDonaldTrump @fema The food supply chain is not very strong. Very strongly now we need a very strong food supply chain. Can you get up off of your very strong butt and very strongly make that happen?	Anger	@CasaRosada @MinTrabajoAR Hola, consulta: la desinfección, fumigación y desratización de consorcios, comercios y locales están exceptuados del aislamiento social obligatorio? Osea, entra dentro de higiene, limpieza y seguridad? #CuarentenaTotal	No emotion
