text	emotion
duplicar inversión compra libros bibliotecas populares acceso cultura lectura derecho argentinos Conocé	No emotion
Disculpe lomas comercios alimentos mascotas quedando stock xq dejan circular consideran esencial desidia mentira serenísima ENTREGA LECHE LOMAS LACTEOS PRECIOS NUBESaumentosadiario	Fear
¿ no llamamiento internacional liberación presos políticos riesgos mayores crímenes sádica Delcy panorama tétrico	Disgust
acordar empleados comercio eh brindamos beneficio contagiamos cuarentena SEÑOR PRESIDENTE	Anger
comercios permitidos siguen trabajando sociedad aprovechando precios	Sadness
debería aprovechar feriado decretar cierre comercios transportes abren shoppings supermercados llenan bolas fuerza argentino entiende	Disgust
necesario posnet obligatorio comercios chicos pcia Aires evitar colas cajeros encontrarse dinero procurarselo colas bancos	No emotion
presidente Alberto Fernández dialogó vicepresidente Banco Mundial comunicó organismo brindará apoyo presupuestario Argentina 300 millones dólares	No emotion
Necesitan prestigio internacional Macri jaja ja jaja ja votar	Joy
favor señor presidente necesitamos ayuda berazategui señor intendente controlando despilfarro Abrio comercio policía caos	Fear
carajo mejoran economía estás boludeces parecen URSS pura inversión armas nucleares satélites población cagaba hambre	Anger
Acá gana banco ! Deudas generadas ! toca ganar menos ? ! autorizaron crédito 24	Anger
Hola consulta desinfección fumigación desratización consorcios comercios locales exceptuados aislamiento social obligatorio ? Osea entra higiene limpieza seguridad ?	No emotion
PYMES ? ? ? ? ? ? EMPLEADO COMERCIO PAGAR SUELDO MANGO ! ! TIREN SOGA PEQUEÑAS MEDIANAS EMPRESAS ! ! ! FUNDIR MILES DESOCUPADOS ! ! !	Fear
Ministro desarollo	No emotion
presidente firme equilibrado justo inflexible ventajeros poderosos siento escucha sector financiero empezando banca publica hombro atencion publico tarjetas credito juntos par	Joy
monotributistas comercio cerrado pagar impuestos servicios	Disgust
Alberto propuso G20 creación Fondo Mundial Emergencia Humanitaria	No emotion
autónomos categorías abrir comercios reciben ayuda ? ? ?	Anger
sistema turnos prioridades actividades bancos cobranzas tramites etc	No emotion
política internacional digamos importa vida condenamos Cuba Venezuela semejante orfandad cuestión humanitaria exclusivamente referencia charla G20	No emotion
responsables momentos bloqueo puente internacional conecta Salvador Mazza Bolivia perjudicando libre paso mercaderías insumos exportación importación gobierno señor	Disgust
día ! ! ! Necesitamos incluyan librerias comercio necesidad clases continúan virtualmente necesitan útiles tareas Gracias !	Disgust
Presi curva afloja 1/04 liberarse comercios minoristas bares restaurantes cuentapropistas unipersonales	No emotion
presidente propuso crear Fondo Mundial Emergencia Humanitaria dilema economía vida elijo vida 👏 ❤ 🇦 🇷	No emotion
